Date,Open,High,Low,Close,Volume
06/07/2021,"591.83","610.00","582.88","605.13","22,543,680"
06/04/2021,"579.71","600.61","577.20","599.05","24,036,900"
06/03/2021,"601.80","604.55","571.22","572.84","30,111,891"
06/02/2021,"620.13","623.36","599.14","605.12","23,302,779"
06/01/2021,"627.80","633.80","620.55","623.90","18,084,891"
05/28/2021,"628.50","635.59","622.38","625.22","22,737,039"
05/27/2021,"620.24","631.13","616.21","630.85","26,370,590"
05/26/2021,"607.56","626.17","601.50","619.13","28,639,311"
05/25/2021,"607.31","613.99","595.71","604.69","28,005,930"
05/24/2021,"581.60","614.48","573.65","606.44","34,558,090"
05/21/2021,"596.11","596.68","580.00","580.88","26,030,600"
05/20/2021,"575.00","588.85","571.07","586.78","30,821,119"
05/19/2021,"552.55","566.21","546.98","563.46","39,578,398"
05/18/2021,"568.00","596.25","563.38","577.87","36,830,566"
05/17/2021,"575.55","589.73","561.20","576.83","32,247,801"
05/14/2021,"583.41","592.87","570.46","589.74","33,370,859"
05/13/2021,"601.55","606.46","559.65","571.69","44,184,922"
05/12/2021,"602.49","620.41","586.77","589.89","33,823,648"
05/11/2021,"599.24","627.10","595.60","617.20","46,503,898"
05/10/2021,"664.90","665.05","627.61","629.04","31,392,420"
05/07/2021,"665.80","690.00","660.22","672.37","23,469,170"
05/06/2021,"680.76","681.02","650.00","663.54","27,784,619"
05/05/2021,"681.06","685.30","667.34","670.94","21,901,891"
05/04/2021,"678.94","683.45","657.70","673.60","29,739,320"
05/03/2021,"703.80","706.00","680.50","684.90","27,043,141"
04/30/2021,"667.59","715.47","666.14","709.44","40,758,719"
04/29/2021,"699.51","702.25","668.50","677.00","28,845,449"
04/28/2021,"696.41","708.50","693.60","694.40","22,271,051"
04/27/2021,"717.96","724.00","703.35","704.74","29,437,000"
04/26/2021,"741.00","749.30","732.61","738.20","31,038,500"
04/23/2021,"719.80","737.36","715.46","729.40","28,413,891"
04/22/2021,"741.50","753.77","718.04","719.69","35,590,262"
04/21/2021,"704.77","744.84","698.00","744.12","31,215,510"
04/20/2021,"717.42","737.25","710.69","718.99","35,609,039"
04/19/2021,"719.60","725.40","691.80","714.63","39,686,230"
04/16/2021,"728.65","749.41","724.60","739.78","27,979,529"
04/15/2021,"743.10","743.69","721.31","738.85","27,848,900"
04/14/2021,"770.70","780.79","728.03","732.23","49,017,434"
04/13/2021,"712.70","763.00","710.66","762.32","44,652,809"
04/12/2021,"685.70","704.80","682.09","701.98","29,135,670"
04/09/2021,"677.77","680.97","669.43","677.02","21,437,090"
04/08/2021,"677.38","689.55","671.65","683.80","23,924,330"
04/07/2021,"687.00","691.38","667.84","670.97","26,309,430"
04/06/2021,"690.30","696.55","681.37","691.62","28,271,840"
04/05/2021,"707.71","708.16","684.70","691.05","41,842,770"
04/01/2021,"688.37","692.42","659.42","661.75","35,298,379"
03/31/2021,"646.62","672.00","641.11","667.93","33,337,289"
03/30/2021,"601.75","637.66","591.01","635.62","39,432,359"
03/29/2021,"615.64","616.48","596.02","611.29","28,636,990"
03/26/2021,"641.87","643.82","599.89","618.71","33,852,832"
03/25/2021,"613.00","645.50","609.50","640.39","39,224,848"
03/24/2021,"667.91","668.02","630.11","630.27","33,795,168"
03/23/2021,"675.77","677.80","657.51","662.16","30,491,869"
03/22/2021,"684.59","699.62","668.75","670.00","39,512,219"
03/19/2021,"646.60","657.23","624.62","654.87","42,893,980"
03/18/2021,"684.29","689.23","652.00","653.16","33,369,020"
03/17/2021,"656.87","703.73","651.01","701.81","40,372,449"
03/16/2021,"703.35","707.92","671.00","676.88","32,195,670"
03/15/2021,"694.09","713.18","684.04","707.94","29,423,480"
03/12/2021,"670.00","694.88","666.14","693.73","33,583,840"
03/11/2021,"699.40","702.50","677.18","699.60","36,253,887"
03/10/2021,"700.30","717.85","655.06","668.06","60,605,672"
03/09/2021,"608.18","678.09","595.21","673.58","67,523,328"
03/08/2021,"600.55","620.13","558.79","563.00","51,786,961"
